term_id,name,slug,description,display_type,parent,thumbnail
16,"Thiết bị điện hager",hager,"<h1 style=""text-align: justify"">Thiết bị điện Hager và bảng giá mới nhất 2025</h1>
<p style=""text-align: justify""><em>Bài viết dưới đây sẽ giới thiệu cho các bạn về các sản phẩm thiết bị điện Hager . Một trong những thương hiệu thiết bị điện nổi tiếng. Và phổ biến nhất trên toàn cầu cùng bảng giá mới nhất 2024-2025..Thiết bị điện hager là thương hiệu cao cấp đến từ Pháp. Chuyên cung cấp thiết bị điện hager chính hãng giá tốt công tắc, ổ cắm, aptomat hager, Contactor</em></p>",default,0,http://thietbidienkyanh.com/wp-content/uploads/2019/12/hager.jpg
17,"Aptomat MCB 6KA Hager",aptomat-mcb-6ka-hager,"<h1>Bảng giá và catalogue Aptomat Hager MCB 6KA</h1>
<em><strong>Các thiết bị đóng cắt trong mạch điện cụ thể là Aptomat. Hay cầu dao tự động (MCB) là các thiết bị đặc thù có nhiệm vụ đảm bảo đóng cắt nguồn điện một cách chính xác nhằm đảm bảo an toàn cho hệ thống điện cũng như người sử dụng. Hager  nổi tiếng với các sản phẩm thiết bị điện với chất lượng cao và được người dùng tin tưởng. </strong></em>


",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/aptomat-hager-3p-4-cuc-mcb-6ka.jpg
18,"Aptomat chống giật Hager",aptomat-chong-giat-hager,"<h1><strong>Bảng giá và Ưu điểm của aptomat chống giật hager</strong></h1>
<h2><strong> Tính năng của Aptomat chống giật</strong></h2>
Sử dụng <strong>aptomat </strong> không chỉ bảo vệ hệ thống điện của gia đình. Mà còn giúp cho bạn bảo vệ được sức khỏe và sự an toàn của bạn và các thành viên trong gia đình. Tránh những trường hợp sự cố về điện gây những tai nạn thương tâm ngoài ý muốn xảy ra. <strong>Aptomat chống giật hager </strong> là một trong những loại aptomat có khả năng ngăn ngừa tình trạng cháy nổ của mạng lưới điện. Quan niệm sai lầm của nhiều người làm việc. Ở trong một ngôi nhà được xây dựng kiên cố bằng gạch thì sẽ không có hiện tượng cháy nổ xảy ra, tuy nhiên đây là một nhận định sai lầm bởi lượng nhiệt sinh ra do sự cố về điện rất lớn có thể gây cháy nổ bất kỳ vật liệu gì.
",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/aptomat-chong-giat-hager-1p-2-cuc-6ka.jpg
19,"Aptomat MCB Hager 10KA",aptomat-mcb-hager-10ka,"<h1><strong>Aptomat MCB hager 10KA mang lại cho hệ thống điện</strong></h1>
Xem thêm : <a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-mcb-6ka-hager/"">Aptomat mcb hager 6ka</a> ,<a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-mcb-hager-10ka/"">aptomat  mcb hager 10ka</a> ,<a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-khoi-mccb-hager/"">aptomat  khối MCCB Hager, </a><a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-chong-giat-hager/"">Aptomat chống giật hager</a>
<strong><a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/"">Thiết bị điện Hager</a></strong>",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/aptomat-hager-1p-2-cuc-mcb-10ka.jpg
20,"Aptomat Khối MCCB Hager",aptomat-khoi-mccb-hager,"<h1>Bảng giá Aptomat Khối MCCB Hager</h1>
MCCB (moulded case circuit breakers) : Aptomat kiểu khối. Đây là dạng CB tiêu chuẩn chủ yếu dùng trong công nghiệp, mạch động lực
MCCB: dòng điện có thể lên tới 1.000A, điện áp dưới 1.000V
<h3><strong>Phân loại aptomat MCCB </strong></h3>
MCCB 3 pha có 2 loại là loại 3 cực và loại 4 cực. Chúng được thiết kế dạng khối. Loại aptomat 3 cực sẽ có 3 cực để đấu 3 dây pha của lưới điện vào và có 3 cực ra để đấu vào tải. Đối với loại 4 cực sẽ có 3 dây pha và 1 dây trung tính. Thường thì loại Aptomat MCCB 3P sẽ có dòng điện định mức và dòng cắt lớn .Do có công suất tương đối lớn và dải điện áp nằm trong khoảng 380 - 415VAC nên nó được sử dụng trong công nghiệp. <strong><a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/"">Thiết bị điện Hager</a></strong>
Xem thêm : <a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-mcb-6ka-hager/"">Aptomat mcb hager 6ka</a> ,<a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-mcb-hager-10ka/"">aptomat  mcb hager 10ka</a> ,<a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-khoi-mccb-hager/"">aptomat  khối MCCB Hager, </a><a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-chong-giat-hager/"">Aptomat chống giật hager</a>",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/Aptomat-Hager.jpg
21,"Công tắc ổ cắm Stylea",cong-tac-o-cam-stylea,"<h1>Bảng giá công tắc ổ cắm Hager Stylea</h1>
Chúng tôi xin gửi đến Quý Khách Hàng <strong>Bảng giá công tắc ổ cắm dân dụng Hager Stylea </strong>với bản cập nhật mới nhất.
Bảng giá cung cấp đầy đủ thông tin về sản phẩm, mô tả rõ thông số kỹ thuật. Quý Khách có thể tải bảng giá mới nhất ngay bên dưới.
Xem thêm <a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/cong-tac-o-cam-10088/"">công tắc ổ cắm Hager</a> , <a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/"">thiết bị điện hager</a>",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/cong-tac-bai-hager-stylea-333x400-210222-20190310032019-333x400.jpg
22,"Công tắc ổ cắm 10088",cong-tac-o-cam-10088,"<h1>Bảng giá công tắc ổ cắm Hager 10088</h1>
Chúng tôi xin gửi đến Quý Khách Hàng <strong>Bảng giá công tắc ổ cắm dân dụng Hager 10088 </strong>với bản cập nhật mới nhất.
Bảng giá cung cấp đầy đủ thông tin về sản phẩm, mô tả rõ thông số kỹ thuật. Quý Khách có thể tải bảng giá mới nhất ngay bên dưới.
Xem thêm <a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/cong-tac-o-cam-stylea/"">công tắc ổ cắm Hager</a> , <a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/"">thiết bị điện hager</a>",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/o-cam-doi-3-chau-hager-1.jpg
23,"Cảm Biến Chuyển Động",cam-bien-chuyen-dong-hager,"<h1>Báo giá Cảm biến chuyển động hager 2024</h1>
<b>Phát hiện chuyển động</b> là quá trình phát hiện sự thay đổi vị trí của vật thể so với môi trường xung quanh hoặc thay đổi môi trường xung quanh một cách tương đối so với vật thể. Phát hiện chuyển động có thể đạt được bằng phương pháp cơ học hoặc điện tử. Khi phát hiện chuyển động được thực hiện bởi các cơ quan sinh học tự nhiên, nó được gọi là nhận thức chuyển động.
<h2>Cảm biến chuyển động là gì ?</h2>
<strong>Cảm biến chuyển động</strong> là một thiết bị phát hiện chuyển động vật lý trên thiết bị hoặc trong môi trường. Nó có khả năng phát hiện và nắm bắt các chuyển động vật lý và / hoạt động học trong thời gian thực.
<h3>Phân loại cảm biến chuyển động?</h3>
Các thiết bị này có nhiều loại khác nhau. Tùy thuộc vào vị trí sử dụng và công nghệ. Loại phổ biến nhất là cảm biến chuyển động hồng ngoại thụ động (Pir). Một số cảm biến chuyển động Pir. Được thiết kế để tránh vật nuôi có trọng lượng nhất định. Làm cho chúng trở nên tuyệt vời cho chủ vật nuôi.

Cảm biến chuyển động công nghệ kép. Có thể vượt trội hơn so với các đối tác công nghệ đơn của chúng. Vì chúng có thể giúp ngăn chặn nhiều báo động sai với hai loại, chẳng hạn như kết hợp Pir với công nghệ vi sóng.
<div>
<div><b><i>- Cảm biến chuyển động hồng ngoại thụ động (Pir)</i></b>: Chúng được thiết kế để phát hiện nhiệt độ cơ thể và chuyển động trong các thông số của cảm biến. Đây là công nghệ phổ biến nhất được sử dụng trong các thiết bị này trên thị trường hiện nay.</div>
<div><b><i>- Cảm biến chuyển động vi sóng</i></b>: Những thiết bị này gửi xung vi sóng, có thể cung cấp vùng phủ sóng nhiều hơn và thường đắt hơn.</div>
<div><b><i>Cảm biến chuyển động siêu âm</i></b>: Những cảm biến này phát ra sóng siêu âm. Và có thể tính toán sự phản xạ của những sóng đó từ một vật thể chuyển động.</div>
<div><b><i>- Cảm biến chuyển động công nghệ kép</i></b>: Các thiết bị này kết hợp các công nghệ cảm biến chuyển động khác nhau. Chẳng hạn như công nghệ siêu âm và siêu âm kết hợp trong một cảm biến.</div>
<h3><strong>cảm biến chuyển động hager</strong></h3>
</div>
<strong>Một cảm biến chuyển động hager</strong> còn được gọi là một máy phát hiện chuyển động. Được thiết kế theo nguyên lí của một cảm biến chuyển động hồng ngoại thụ động (PIR)
Tùy thuộc vào khả năng của cảm biến chuyển động. Nó có thể phát hiện chuyển động trong thiết bị được tích hợp hoặc môi trường xung quanh. Nó thường được kết nối với một hệ thống. Hoặc phần mềm xử lý chuyển động thành một hành động hoặc thông tin.

<a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/""><span style=""font-size: 14.4px"">.Thiết bị điện hager</span></a>

<a href=""https://thietbidienkyanh.com/bang-gia-va-catalogus-thiet-bi-dien-hager/"">Bảng giá thiết bị điện hager mới nhất </a>",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/cam-bien-chuyen-dong-gan-tuong-hager-ee830-ngoai-troi-1.jpg
24,"Cầu dao cách ly hager",cau-dao-cach-ly-hager,"<h1>Báo giá Cầu dao cách ly ( Isolator ) Hager</h1>
<h2>Isolator là gì ?</h2>
<em><strong>Isolator Hager có nhiều tên gọi khác nhau như:. Cầu dao cách ly, dao cách ly, công tắc nguồn, hộp cầu dao cách ly... Isolator thường được thấy trong các bản vẽ M&amp;E hoặc các nhà xưởng có nhiều máy, dây chuyền.</strong></em>
Isolator hoạt động như một công tắc ON-OFF, đóng - ngắt dòng điện. Từ vài chục đến gần 2000A,DC hoặc AC, 1 cực đến 4 cực tùy theo chủng loại.
Cầu dao cách ly là thiết bị nhằm tạo ra một khoảng cách điện trông thấy giữa các bộ phận đang có điện và những bộ phận cắt điện để đảm bảo an toàn đối với người sử dụng.
–  Isolator còn dùng để đóng cắt nguồn điện không tải.
–  Nhờ có thiết bị cầu dao cách ly mà quá trình sửa chữa các thiết bị điện diễn ra bình thường và an toàn hơn.
Xem thêm<a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/""> thiết bị điện hager</a> , <a href=""https://thietbidienkyanh.com/thiet-bi-dien/hager/aptomat-mcb-6ka-hager/"">aptomat hager </a>

<a href=""https://thietbidienkyanh.com/bang-gia-va-catalogus-thiet-bi-dien-hager/"">Bảng giá thiết bị điện hager mới nhất </a>",default,16,http://thietbidienkyanh.com/wp-content/uploads/2021/09/cau-giao-cach-ly-vo-nhua-hager.jpg
25,"Vỏ tủ điện Hager",vo-tu-dien-hager,"<h1>Bảng giá và Catalogue vỏ tủ điện âm tường hager</h1>
<em><strong>Tủ điện âm tường hager được sản xuất trên dây chuyền hiện đại của châu âu . Được nhập khẩu nguyên chiếc về việt nam. Bởi công ty Kỳ Anh. Vỏ tủ điện hager có độ bề cao , chịu lực tốt .</strong></em>
",default,16,http://thietbidienkyanh.com/wp-content/uploads/2019/12/tu-dien-am-tuong-hager-canh-nhua-36-module-vf312TM.jpg
